aphia_id,Kingdom,Class,Order,Family,Genus,Species,Phylum,highest_classification
103604,Animalia,Ascidiacea,Aplousobranchia,Holozoidae,Distaplia,Distaplia bermudensis,Chordata,species
103582,Animalia,Ascidiacea,Aplousobranchia,Didemnidae,Diplosoma,Diplosoma spongiforme,Chordata,species
103579,Animalia,Ascidiacea,Aplousobranchia,Didemnidae,Diplosoma,Diplosoma listerianum,Chordata,species
103554,Animalia,Ascidiacea,Aplousobranchia,Clavelinidae,Clavelina,Clavelina oblonga,Chordata,species
103529,Animalia,Ascidiacea,Stolidobranchia,Styelidae,Botryllus,NA,Chordata,genus
103483,Animalia,Ascidiacea,Phlebobranchia,Ascidiidae,Ascidia,NA,Chordata,genus
103465,Animalia,Ascidiacea,Aplousobranchia,Polycitoridae,Eudistoma,NA,Chordata,genus
103456,Animalia,Ascidiacea,Aplousobranchia,Didemnidae,Didemnum,NA,Chordata,genus
102401,Animalia,Malacostraca,Amphipoda,Ischyroceridae,Ericthonius,Ericthonius brasiliensis,Arthropoda,species
102033,Animalia,Malacostraca,Amphipoda,Aoridae,Lembos,Lembos websteri,Arthropoda,species
102000,Animalia,Malacostraca,Amphipoda,Ampithoidae,Ampithoe,Ampithoe ramondi,Arthropoda,species
101563,Animalia,Malacostraca,Amphipoda,Photidae,Photis,NA,Arthropoda,genus
101489,Animalia,Malacostraca,Amphipoda,Corophiidae,Corophium,NA,Arthropoda,genus
101474,Animalia,Malacostraca,Amphipoda,Unciolidae,Unciola,NA,Arthropoda,genus
101398,Animalia,Malacostraca,Amphipoda,Melphidippidae,NA,NA,Arthropoda,family
23023,Animalia,Gastropoda,Neogastropoda,Cystiscidae,NA,NA,Mollusca,family
23022,Animalia,Gastropoda,Littorinimorpha,Cypraeidae,NA,NA,Mollusca,family
1821,Animalia,NA,NA,NA,NA,NA,Chordata,phylum
1762,Animalia,Gastropoda,Nudibranchia,NA,NA,NA,Mollusca,order
1360,Animalia,Anthozoa,Actiniaria,NA,NA,NA,Cnidaria,order
1337,Animalia,Hydrozoa,NA,NA,NA,NA,Cnidaria,class
1302,Animalia,Pycnogonida,NA,NA,NA,NA,Arthropoda,class
1268,Animalia,NA,Sipuncula,NA,NA,NA,Annelida,order
1137,Animalia,Malacostraca,Cumacea,NA,NA,NA,Arthropoda,order
1135,Animalia,Malacostraca,Amphipoda,NA,NA,NA,Arthropoda,order
1133,Animalia,Malacostraca,Tanaidacea,NA,NA,NA,Arthropoda,order
1131,Animalia,Malacostraca,Isopoda,NA,NA,NA,Arthropoda,order
1130,Animalia,Malacostraca,Decapoda,NA,NA,NA,Arthropoda,order
1082,Animalia,Thecostraca,NA,NA,NA,NA,Arthropoda,class
1065,Animalia,NA,NA,NA,NA,NA,Arthropoda,phylum
985,Animalia,Polychaeta,Sabellida,Sabellidae,NA,NA,Annelida,family
982,Animalia,Polychaeta,Terebellida,Terebellidae,NA,NA,Annelida,family
